first_regional_block_id,first_regional_block_name,second_regional_block_id,second_regional_block_name,city_code,city_name,city_kana,ward_code,ward_name,ward_kana
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23101,千種区,ちくさく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23102,東区,ひがしく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23103,北区,きたく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23104,西区,にしく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23105,中村区,なかむらく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23106,中区,なかく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23107,昭和区,しょうわく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23108,瑞穂区,みずほく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23109,熱田区,あつたく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23110,中川区,なかがわく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23111,港区,みなとく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23112,南区,なみなく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23113,守山区,もりやまく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23114,緑区,みどりく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23115,名東区,めいとうく
1,尾張地域,1,名古屋,23100,名古屋市,なごやし,23116,天白区,てんぱくく
1,尾張地域,2,尾張北東部,23204,瀬戸市,せとし,NA,NA,NA
1,尾張地域,2,尾張北東部,23206,春日井市,かすがいし,NA,NA,NA
1,尾張地域,2,尾張北東部,23215,犬山市,いぬやまし,NA,NA,NA
1,尾張地域,2,尾張北東部,23217,江南市,こうなんし,NA,NA,NA
1,尾張地域,2,尾張北東部,23219,小牧市,こまきし,NA,NA,NA
1,尾張地域,2,尾張北東部,23226,尾張旭市,おわりあさひし,NA,NA,NA
1,尾張地域,2,尾張北東部,23228,岩倉市,いわくらし,NA,NA,NA
1,尾張地域,2,尾張北東部,23229,豊明市,とよあけし,NA,NA,NA
1,尾張地域,2,尾張北東部,23230,日進市,にっしんし,NA,NA,NA
1,尾張地域,2,尾張北東部,23238,長久手市,ながくてし,NA,NA,NA
1,尾張地域,2,尾張北東部,23302,東郷町,とうごうちょう,NA,NA,NA
1,尾張地域,2,尾張北東部,23361,大口町,おおぐちちょう,NA,NA,NA
1,尾張地域,2,尾張北東部,23362,扶桑町,ふそうちょう,NA,NA,NA
1,尾張地域,3,尾張中西部・海部,23203,一宮市,いちのみやし,NA,NA,NA
1,尾張地域,3,尾張中西部・海部,23208,津島市,つしまし,NA,NA,NA
1,尾張地域,3,尾張中西部・海部,23220,稲沢市,いなざわし,NA,NA,NA
1,尾張地域,3,尾張中西部・海部,23232,愛西市,あいさいし,NA,NA,NA
1,尾張地域,3,尾張中西部・海部,23233,清須市,きよすし,NA,NA,NA
1,尾張地域,3,尾張中西部・海部,23234,北名古屋市,きたなごやし,NA,NA,NA
1,尾張地域,3,尾張中西部・海部,23235,弥富市,やとみし,NA,NA,NA
1,尾張地域,3,尾張中西部・海部,23237,あま市,あまし,NA,NA,NA
1,尾張地域,3,尾張中西部・海部,23342,豊山町,とよやまちょう,NA,NA,NA
1,尾張地域,3,尾張中西部・海部,23424,大治町,おおはるちょう,NA,NA,NA
1,尾張地域,3,尾張中西部・海部,23425,蟹江町,かにえちょう,NA,NA,NA
1,尾張地域,3,尾張中西部・海部,23427,飛島村,とびしまむら,NA,NA,NA
1,尾張地域,4,知多,23205,半田市,はんだし,NA,NA,NA
1,尾張地域,4,知多,23216,常滑市,とこなめし,NA,NA,NA
1,尾張地域,4,知多,23222,東海市,とうかいし,NA,NA,NA
1,尾張地域,4,知多,23223,大府市,おおぶし,NA,NA,NA
1,尾張地域,4,知多,23224,知多市,ちたし,NA,NA,NA
1,尾張地域,4,知多,23441,阿久比町,あぐいちょう,NA,NA,NA
1,尾張地域,4,知多,23442,東浦町,ひがしうらちょう,NA,NA,NA
1,尾張地域,4,知多,23445,南知多町,みなみちたちょう,NA,NA,NA
1,尾張地域,4,知多,23446,美浜町,みはまちょう,NA,NA,NA
1,尾張地域,4,知多,23447,武豊町,たけとよちょう,NA,NA,NA
2,西三河地域,5,西三河地域,23202,岡崎市,おかざきし,NA,NA,NA
2,西三河地域,5,西三河地域,23209,碧南市,へきなんし,NA,NA,NA
2,西三河地域,5,西三河地域,23210,刈谷市,かりやし,NA,NA,NA
2,西三河地域,5,西三河地域,23211,豊田市,とよたし,NA,NA,NA
2,西三河地域,5,西三河地域,23212,安城市,あんじょうし,NA,NA,NA
2,西三河地域,5,西三河地域,23213,西尾市,にしおし,NA,NA,NA
2,西三河地域,5,西三河地域,23225,知立市,ちりゅうし,NA,NA,NA
2,西三河地域,5,西三河地域,23227,高浜市,たかはまし,NA,NA,NA
2,西三河地域,5,西三河地域,23236,みよし市,みよしし,NA,NA,NA
2,西三河地域,5,西三河地域,23501,幸田町,こうたちょう,NA,NA,NA
3,東三河地域,6,東三河地域,23201,豊橋市,とよはしし,NA,NA,NA
3,東三河地域,6,東三河地域,23207,豊川市,とよかわし,NA,NA,NA
3,東三河地域,6,東三河地域,23214,蒲郡市,がまごおりし,NA,NA,NA
3,東三河地域,6,東三河地域,23221,新城市,しんしろし,NA,NA,NA
3,東三河地域,6,東三河地域,23231,田原市,たはらし,NA,NA,NA
3,東三河地域,6,東三河地域,23561,設楽町,したらちょう,NA,NA,NA
3,東三河地域,6,東三河地域,23562,東栄町,とうえいちょう,NA,NA,NA
3,東三河地域,6,東三河地域,23563,豊根村,とよねむら,NA,NA,NA
